latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-12.53141550,40.48555399,30.4320,0.7452,"POLYGON((40.4855631165763 -12.5314425514203, 40.4855827207284 -12.5314084340127, 40.4855811306354 -12.531385026664, 40.4855510609518 -12.5313869982538, 40.4855248565175 -12.5314171095987, 40.4855267468031 -12.531444936088, 40.4855631165763 -12.5314425514203))",5HV2FF9P+C6M8
-12.49632135,40.47386298,36.1536,0.7940,"POLYGON((40.4739088390115 -12.4963189573023, 40.473829515516 -12.4962904482912, 40.4738171189465 -12.4963237493747, 40.4738964424512 -12.4963522583882, 40.4739088390115 -12.4963189573023))",5HV2GF3F+FGH4
-12.53144841,40.48567818,22.5641,0.7528,"POLYGON((40.4857117776827 -12.5314591398269, 40.4856647559901 -12.5314162926359, 40.4856445791749 -12.5314376646815, 40.4856916008684 -12.5314805118757, 40.4857117776827 -12.5314591398269))",5HV2FF9P+C7F4
-12.49614361,40.47231736,18.2265,0.6737,"POLYGON((40.4723336770946 -12.4961230300103, 40.472292168696 -12.4961269445458, 40.4722943661537 -12.4961494410256, 40.4723385210797 -12.496172620232, 40.4723336770946 -12.4961230300103))",5HV2GF3C+GWW6
-12.49625104,40.47415889,9.1077,0.7042,"POLYGON((40.4741719082124 -12.4962656141249, 40.4741757477687 -12.4962409534946, 40.4741458527179 -12.4962364596928, 40.4741420131587 -12.496261120323, 40.4741719082124 -12.4962656141249))",5HV2GF3F+FMVR
-12.53037018,40.52227919,70.1154,0.7572,"POLYGON((40.5223161871079 -12.530417673183, 40.5222954443185 -12.5303125476289, 40.52224218663 -12.5303226905299, 40.5222629293996 -12.5304278160906, 40.5223161871079 -12.530417673183))",5HV2FG9C+VW25
-12.53106417,40.48507671,16.7015,0.7933,"POLYGON((40.4850856330855 -12.5310898632459, 40.4850973774168 -12.5310461504583, 40.4850677840104 -12.5310384762462, 40.4850560396739 -12.5310821890328, 40.4850856330855 -12.5310898632459))",5HV2FF9P+H2GF
-12.53120366,40.48512599,19.0733,0.7706,"POLYGON((40.4851525358791 -12.5311932611844, 40.485111027613 -12.5311797668473, 40.4850994701784 -12.5312140801753, 40.4851409784497 -12.5312275745136, 40.4851525358791 -12.5311932611844))",5HV2FF9P+G36R
-12.53013435,40.52178023,39.7335,0.7926,"POLYGON((40.521835679526 -12.5301254217303, 40.5217284057307 -12.5301130116807, 40.5217247779619 -12.5301432794989, 40.5218320517699 -12.5301556895484, 40.521835679526 -12.5301254217303))",5HV2FG9C+WPRQ
-12.53185946,40.48582408,16.0683,0.7045,"POLYGON((40.4858519429213 -12.5318613775739, 40.485812008121 -12.531834733342, 40.4857962376578 -12.5318575477353, 40.4858361724604 -12.5318841919693, 40.4858519429213 -12.5318613775739))",5HV2FF9P+784M
-12.53165082,40.48500021,11.3943,0.7532,"POLYGON((40.4850165030013 -12.5316659336159, 40.4850196938201 -12.5316399273988, 40.4849839132221 -12.5316356900934, 40.4849807223997 -12.5316616963106, 40.4850165030013 -12.5316659336159))",5HV2FF9P+82JR
-12.53100995,40.48504037,30.6555,0.7928,"POLYGON((40.4850504860757 -12.5310512479199, 40.4850621496757 -12.5309732581127, 40.4850302714286 -12.5309686565157, 40.4850186078189 -12.5310466463229, 40.4850504860757 -12.5310512479199))",5HV2FF9P+H2VM
-12.49636811,40.47384737,53.6820,0.7602,"POLYGON((40.4739014622269 -12.4963739226079, 40.4738169822654 -12.4963237538687, 40.4737932664844 -12.4963623101363, 40.4738777464566 -12.4964124788817, 40.4739014622269 -12.4963739226079))",5HV2GF3F+FG56
-12.53108428,40.48515167,23.5461,0.8201,"POLYGON((40.4851855208687 -12.531080793719, 40.4851311978753 -12.5310575637934, 40.4851178216985 -12.5310877554286, 40.4851721446975 -12.5311109853563, 40.4851855208687 -12.531080793719))",5HV2FF9P+H36Q
-12.49622977,40.47417109,17.9588,0.7795,"POLYGON((40.4741961961598 -12.4962180800377, 40.4741544663503 -12.4962079048651, 40.47414598478 -12.4962414877803, 40.4741877145947 -12.4962516629537, 40.4741961961598 -12.4962180800377))",5HV2GF3F+GM3V
-12.53125321,40.48543031,26.7415,0.6631,"POLYGON((40.4854651853088 -12.5312511181991, 40.485414974511 -12.5312223725903, 40.4853954365763 -12.5312553125058, 40.485445647379 -12.531284058118, 40.4854651853088 -12.5312511181991))",5HV2FF9P+F5VX
-12.53152511,40.48488417,8.4589,0.6566,"POLYGON((40.4848986794788 -12.5315369916265, 40.4848957699401 -12.5315104651173, 40.4848696530474 -12.531513230038, 40.4848725625836 -12.5315397565479, 40.4848986794788 -12.5315369916265))",5HV2FF9M+9XJV
-12.53130671,40.48541567,23.7456,0.7930,"POLYGON((40.485445647379 -12.531284058118, 40.4854209441703 -12.5312699155687, 40.4853856811226 -12.5313293671736, 40.4854103843361 -12.5313435097256, 40.485445647379 -12.531284058118))",5HV2FF9P+F5FM
-12.53111079,40.48528821,31.7958,0.7325,"POLYGON((40.4853275048954 -12.5311078552239, 40.4852657867618 -12.5310789532841, 40.4852489120305 -12.5311137342239, 40.4853106301716 -12.5311426361669, 40.4853275048954 -12.5311078552239))",5HV2FF9P+H43C
-12.53113958,40.48543336,11.6578,0.7560,"POLYGON((40.4854450109292 -12.5311583599578, 40.4854543266306 -12.5311319055647, 40.4854217188047 -12.5311208225387, 40.4854124031 -12.5311472769307, 40.4854450109292 -12.5311583599578))",5HV2FF9P+G5VH
-12.53000974,40.52156133,15.7374,0.6961,"POLYGON((40.5215778052804 -12.5300308128849, 40.5215738848757 -12.5299862105747, 40.5215448682058 -12.5299886723211, 40.5215487886055 -12.5300332746323, 40.5215778052804 -12.5300308128849))",5HV2FG9C+XJVQ
-12.53142047,40.48493618,20.9356,0.7682,"POLYGON((40.4849603651857 -12.5314389478973, 40.4849620877309 -12.5314044003422, 40.4849120005825 -12.5314019898915, 40.4849102780305 -12.531436537447, 40.4849603651857 -12.5314389478973))",5HV2FF9M+CXM5
-12.53127114,40.48550867,41.7433,0.8318,"POLYGON((40.4855513502812 -12.531270042023, 40.4854964884629 -12.5312309402681, 40.4854659895832 -12.5312722427347, 40.4855208514068 -12.5313113444951, 40.4855513502812 -12.531270042023))",5HV2FF9P+F6R3
-12.49652687,40.47400857,19.8339,0.7207,"POLYGON((40.4740159694162 -12.4965548049624, 40.4740342661784 -12.4965128851864, 40.474001160336 -12.4964989344683, 40.4739828635705 -12.4965408542422, 40.4740159694162 -12.4965548049624))",5HV2GF3F+9JJV
-12.53150999,40.48528625,55.1858,0.7759,"POLYGON((40.4853522298806 -12.531523017576, 40.4852364590489 -12.5314655067163, 40.4852202713382 -12.5314969589837, 40.4853360421818 -12.5315544698478, 40.4853522298806 -12.531523017576))",5HV2FF9P+94VJ
-12.53100972,40.48515364,17.5424,0.7473,"POLYGON((40.4851695522418 -12.5310346093107, 40.4851656232449 -12.5309827870606, 40.4851377319546 -12.5309848281065, 40.4851416609461 -12.5310366503576, 40.4851695522418 -12.5310346093107))",5HV2FF9P+H3RQ
-12.53174030,40.48525377,21.6015,0.7661,"POLYGON((40.4852847586109 -12.5317330424715, 40.4852334981218 -12.5317161600776, 40.4852227882673 -12.5317475470034, 40.4852740487626 -12.5317644293987, 40.4852847586109 -12.5317330424715))",5HV2FF9P+8426
-12.53028754,40.52097793,11.6463,0.6991,"POLYGON((40.520992733533 -12.5303047814065, 40.5209996808559 -12.5302802996276, 40.5209631101527 -12.5302702828153, 40.5209561628265 -12.5302947645933, 40.520992733533 -12.5303047814065))",5HV2FG9C+V9QF
-12.53101529,40.48513202,11.3201,0.7334,"POLYGON((40.4851456763113 -12.5310320427001, 40.4851493656636 -12.5310022320339, 40.4851183626993 -12.5309985286306, 40.4851146733434 -12.5310283392968, 40.4851456763113 -12.5310320427001))",5HV2FF9P+H3R6
